run,solution,evaluation,iterations,time
0,"[1, 5, 6, 8, 9, 11, 10, 3, 7, 4, 0, 2]",47530,0,0
1,"[9, 5, 7, 10, 8, 2, 11, 6, 4, 3, 1, 0]",58568,0,0
2,"[0, 2, 4, 3, 8, 9, 11, 7, 6, 5, 1, 10]",46828,0,0
3,"[5, 6, 7, 8, 10, 9, 4, 3, 11, 1, 2, 0]",38062,0,0
4,"[2, 0, 6, 5, 8, 9, 11, 10, 3, 4, 7, 1]",38020,0,0
5,"[5, 0, 6, 9, 10, 8, 11, 7, 4, 3, 2, 1]",46850,0,0
6,"[1, 5, 7, 9, 10, 11, 8, 6, 3, 2, 0, 4]",45300,0,0
7,"[7, 5, 8, 10, 11, 3, 9, 2, 4, 1, 0, 6]",45842,0,0
8,"[5, 0, 7, 8, 10, 9, 11, 3, 6, 2, 1, 4]",30774,0,0
9,"[11, 0, 6, 5, 8, 10, 7, 9, 4, 2, 1, 3]",53502,0,0
