run,solution,evaluation,iterations,time
0,"[3, 5, 9, 1, 2, 10, 7, 4, 11, 6, 8, 0]",11248,0,1
1,"[4, 6, 3, 9, 2, 0, 7, 5, 1, 10, 8, 11]",11838,0,1
2,"[5, 10, 7, 2, 3, 4, 9, 8, 6, 11, 0, 1]",19038,0,0
3,"[4, 6, 11, 7, 9, 0, 1, 10, 3, 5, 2, 8]",13244,0,0
4,"[10, 5, 4, 11, 7, 3, 2, 9, 1, 6, 8, 0]",10240,0,1
5,"[10, 4, 3, 11, 5, 6, 2, 7, 1, 9, 8, 0]",11992,0,0
6,"[10, 4, 3, 7, 5, 2, 1, 0, 11, 6, 8, 9]",11944,0,1
7,"[10, 4, 3, 11, 7, 2, 5, 0, 8, 6, 1, 9]",12304,0,1
8,"[6, 4, 11, 1, 0, 10, 8, 5, 7, 3, 9, 2]",12062,0,1
9,"[6, 4, 5, 1, 0, 2, 3, 10, 11, 7, 8, 9]",13166,0,1
