run,solution,evaluation,iterations,time
0,"[10, 5, 1, 11, 0, 3, 8, 6, 9, 4, 7, 2]",13748,0,1000
1,"[6, 9, 3, 4, 8, 7, 2, 5, 1, 10, 0, 11]",13304,0,1000
2,"[6, 9, 8, 0, 1, 7, 11, 5, 2, 10, 3, 4]",12438,0,1000
3,"[9, 6, 1, 7, 4, 0, 8, 5, 2, 10, 3, 11]",12706,0,1000
4,"[4, 10, 6, 7, 2, 5, 3, 9, 8, 0, 11, 1]",13856,0,1000
5,"[10, 5, 0, 8, 11, 3, 1, 7, 2, 9, 4, 6]",13074,0,1000
6,"[9, 6, 3, 1, 7, 0, 2, 4, 11, 10, 8, 5]",14712,0,1000
7,"[5, 10, 1, 11, 3, 4, 8, 0, 9, 6, 7, 2]",14356,0,1000
8,"[3, 5, 0, 2, 8, 10, 9, 6, 11, 4, 1, 7]",13230,0,1000
9,"[6, 9, 11, 1, 0, 7, 8, 10, 3, 4, 5, 2]",11754,0,1000
