run,solution,evaluation,iterations,time
0,"[9, 0, 5, 7, 8, 6, 10, 4, 1, 2, 11, 3]",19450,0,1000
1,"[3, 5, 9, 0, 8, 10, 11, 4, 2, 6, 1, 7]",23926,0,1000
2,"[4, 10, 11, 9, 6, 7, 5, 3, 1, 2, 8, 0]",20928,0,1000
3,"[0, 6, 8, 10, 7, 4, 11, 5, 9, 3, 1, 2]",18494,0,1000
4,"[11, 5, 9, 10, 6, 3, 7, 4, 8, 2, 1, 0]",23118,0,1000
5,"[8, 3, 0, 1, 11, 2, 7, 6, 5, 9, 10, 4]",21930,0,1000
6,"[10, 4, 0, 3, 2, 6, 1, 9, 11, 7, 8, 5]",21250,0,1000
7,"[4, 6, 8, 2, 10, 1, 11, 0, 3, 9, 5, 7]",17752,0,1000
8,"[1, 6, 3, 2, 9, 0, 8, 5, 7, 10, 11, 4]",22212,0,1000
9,"[7, 10, 1, 4, 9, 5, 2, 6, 3, 8, 0, 11]",22076,0,1000
